material a,material b,"p(a,b)",p(a),p(b),PMI
¨F©Ôªo,¬õ½µ¶p,0.00204499,0.014314928,0.006134969,3.147840052
¨F©Ôªo,½¼¦Ì,0.00204499,0.014314928,0.022494888,1.848557068
¨F©Ôªo,ªo½µ¶p,0.00204499,0.014314928,0.006134969,3.147840052
¨F©Ôªo,¨§»G,0.00204499,0.014314928,0.022494888,1.848557068
¨F©Ôªo,¬â¿},0.00204499,0.014314928,0.024539877,1.761545691
¬õ¦a¥Ê,¤E¼h¶ð,0.00204499,0.00204499,0.040899796,3.196630216
¬õ¦a¥Ê,Á¤,0.00204499,0.00204499,0.392638037,0.934867117
¬õ¦a¥Ê,¥É¦Ì¯»,0.00204499,0.00204499,0.00408998,5.499215309
¬õ¦a¥Ê,¶À¦a¥Ê,0.00204499,0.00204499,0.00204499,6.192362489
¬õ¦a¥Ê,»¶´Ô,0.00204499,0.00204499,0.308793456,1.175082653
¬õ¦a¥Ê,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¬õ¦a¥Ê,­J´Ô,0.00204499,0.00204499,0.386503067,0.950615474
¤E¼h¶ð,¬õ¦a¥Ê,0.00204499,0.040899796,0.00204499,3.196630216
¤E¼h¶ð,¥É¦Ì¯»,0.00204499,0.040899796,0.00408998,2.503483035
¤E¼h¶ð,¶À¦a¥Ê,0.00204499,0.040899796,0.00204499,3.196630216
Á¤,¬õ¦a¥Ê,0.00204499,0.392638037,0.00204499,0.934867117
Á¤,¥É¦Ì¯»,0.00204499,0.392638037,0.00408998,0.241719937
Á¤,¶À¦a¥Ê,0.00204499,0.392638037,0.00204499,0.934867117
¥É¦Ì¯»,¬õ¦a¥Ê,0.00204499,0.00408998,0.00204499,5.499215309
¥É¦Ì¯»,¤E¼h¶ð,0.00204499,0.00408998,0.040899796,2.503483035
¥É¦Ì¯»,Á¤,0.00204499,0.00408998,0.392638037,0.241719937
¥É¦Ì¯»,¶À¦a¥Ê,0.00204499,0.00408998,0.00204499,5.499215309
¥É¦Ì¯»,»¶´Ô,0.00204499,0.00408998,0.308793456,0.481935472
¶À¦a¥Ê,¬õ¦a¥Ê,0.00204499,0.00204499,0.00204499,6.192362489
¶À¦a¥Ê,¤E¼h¶ð,0.00204499,0.00204499,0.040899796,3.196630216
¶À¦a¥Ê,Á¤,0.00204499,0.00204499,0.392638037,0.934867117
¶À¦a¥Ê,¥É¦Ì¯»,0.00204499,0.00204499,0.00408998,5.499215309
¶À¦a¥Ê,»¶´Ô,0.00204499,0.00204499,0.308793456,1.175082653
¶À¦a¥Ê,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¶À¦a¥Ê,­J´Ô,0.00204499,0.00204499,0.386503067,0.950615474
»¶´Ô,¬õ¦a¥Ê,0.00204499,0.308793456,0.00204499,1.175082653
»¶´Ô,¥É¦Ì¯»,0.00204499,0.308793456,0.00408998,0.481935472
»¶´Ô,¶À¦a¥Ê,0.00204499,0.308793456,0.00204499,1.175082653
ÆQ,¬õ¦a¥Ê,0.00204499,0.680981595,0.00204499,0.384219999
ÆQ,¶À¦a¥Ê,0.00204499,0.680981595,0.00204499,0.384219999
­J´Ô,¬õ¦a¥Ê,0.00204499,0.386503067,0.00204499,0.950615474
­J´Ô,¶À¦a¥Ê,0.00204499,0.386503067,0.00204499,0.950615474
Á¤,½Õ¨ý®Æ,0.00204499,0.392638037,0.00204499,0.934867117
¬v½µ,½Õ¨ý®Æ,0.00204499,0.114519427,0.00204499,2.167010799
¬v½µ,²M°ª´ö,0.00204499,0.114519427,0.016359918,0.087569257
¬v½µ,¤ûßv,0.00204499,0.114519427,0.00408998,1.473863618
¬õÅÚ½³,½Õ¨ý®Æ,0.00204499,0.141104294,0.00204499,1.958255985
½Õ¨ý®Æ,Á¤,0.00204499,0.00204499,0.392638037,0.934867117
½Õ¨ý®Æ,¬v½µ,0.00204499,0.00204499,0.114519427,2.167010799
½Õ¨ý®Æ,¬õÅÚ½³,0.00204499,0.00204499,0.141104294,1.958255985
½Õ¨ý®Æ,­»ªo,0.00204499,0.00204499,0.298568507,1.208755868
½Õ¨ý®Æ,«C½µ,0.00204499,0.00204499,0.169734151,1.773521882
½Õ¨ý®Æ,²M°ª´ö,0.00204499,0.00204499,0.016359918,4.112920948
½Õ¨ý®Æ,¤ûßv,0.00204499,0.00204499,0.00408998,5.499215309
½Õ¨ý®Æ,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
½Õ¨ý®Æ,­J´Ô,0.00204499,0.00204499,0.386503067,0.950615474
½Õ¨ý®Æ,Âæªo,0.00204499,0.00204499,0.300613497,1.201929903
­»ªo,½Õ¨ý®Æ,0.00204499,0.298568507,0.00204499,1.208755868
­»ªo,¤ûßv,0.00204499,0.298568507,0.00408998,0.515608687
«C½µ,½Õ¨ý®Æ,0.00204499,0.169734151,0.00204499,1.773521882
«C½µ,¤ûßv,0.00204499,0.169734151,0.00408998,1.080374701
²M°ª´ö,¬v½µ,0.00204499,0.016359918,0.114519427,0.087569257
²M°ª´ö,½Õ¨ý®Æ,0.00204499,0.016359918,0.00204499,4.112920948
²M°ª´ö,¤ûßv,0.00204499,0.016359918,0.00408998,3.419773767
¤ûßv,¬v½µ,0.00204499,0.00408998,0.114519427,1.473863618
¤ûßv,½Õ¨ý®Æ,0.00204499,0.00408998,0.00204499,5.499215309
¤ûßv,­»ªo,0.00204499,0.00408998,0.298568507,0.515608687
¤ûßv,«C½µ,0.00204499,0.00408998,0.169734151,1.080374701
¤ûßv,²M°ª´ö,0.00204499,0.00408998,0.016359918,3.419773767
¤ûßv,­J´Ô,0.00204499,0.00408998,0.386503067,0.257468294
ÆQ,½Õ¨ý®Æ,0.00204499,0.680981595,0.00204499,0.384219999
­J´Ô,½Õ¨ý®Æ,0.00204499,0.386503067,0.00204499,0.950615474
­J´Ô,¤ûßv,0.00204499,0.386503067,0.00408998,0.257468294
Âæªo,½Õ¨ý®Æ,0.00204499,0.300613497,0.00204499,1.201929903
½µ,ªo¨§»G,0.00204499,0.247443763,0.008179959,0.010277583
¤j»[,ªo¨§»G,0.00204499,0.300613497,0.008179959,0.184364458
ªo¨§»G,½µ,0.00204499,0.008179959,0.247443763,0.010277583
ªo¨§»G,¤j»[,0.00204499,0.008179959,0.300613497,0.184364458
ªo¨§»G,¤­ªá¦×,0.00204499,0.008179959,0.032719836,2.033479406
ªo¨§»G,°ª´ö,0.00204499,0.008179959,0.069529652,1.279707604
ªo¨§»G,¤K¨¤,0.00204499,0.008179959,0.067484663,1.309560567
¤­ªá¦×,ªo¨§»G,0.00204499,0.032719836,0.008179959,2.033479406
¤­ªá¦×,°ª´ö,0.00204499,0.032719836,0.069529652,0.106586757
°ª´ö,ªo¨§»G,0.00204499,0.069529652,0.008179959,1.279707604
°ª´ö,¤­ªá¦×,0.00204499,0.069529652,0.032719836,0.106586757
°ª´ö,¤K¨¤,0.00204499,0.069529652,0.067484663,0.830505597
¤K¨¤,ªo¨§»G,0.00204499,0.067484663,0.008179959,1.309560567
¤K¨¤,°ª´ö,0.00204499,0.067484663,0.069529652,0.830505597
Âû¦×,¬õ»¶´Ô,0.00408998,0.014314928,0.075664622,1.328681608
Âû¦×,°ª´ö,0.00204499,0.014314928,0.069529652,0.720091816
¬õ»¶´Ô,Âû¦×,0.00408998,0.075664622,0.014314928,1.328681608
¬õ»¶´Ô,°ª´ö,0.00204499,0.075664622,0.069529652,0.944915948
°ª´ö,Âû¦×,0.00204499,0.069529652,0.014314928,0.720091816
°ª´ö,¬õ»¶´Ô,0.00204499,0.069529652,0.075664622,0.944915948
·íÂk,ªë¥Ø³½,0.00204499,0.030674847,0.00204499,3.484312288
¦Ì°s,ªë¥Ø³½,0.00204499,0.425357873,0.00204499,0.85482441
¶À¯Ï,ªë¥Ø³½,0.00204499,0.018404908,0.00204499,3.995137912
ªë¥Ø³½,·íÂk,0.00204499,0.00204499,0.030674847,3.484312288
ªë¥Ø³½,¦Ì°s,0.00204499,0.00204499,0.425357873,0.85482441
ªë¥Ø³½,¶À¯Ï,0.00204499,0.00204499,0.018404908,3.995137912
ªë¥Ø³½,¬e§û,0.00204499,0.00204499,0.044989775,3.101320036
ªë¥Ø³½,¤ô,0.00204499,0.00204499,0.480572597,0.732776975
ªë¥Ø³½,Á¤,0.00204499,0.00204499,0.392638037,0.934867117
ªë¥Ø³½,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¬e§û,ªë¥Ø³½,0.00204499,0.044989775,0.00204499,3.101320036
¤ô,ªë¥Ø³½,0.00204499,0.480572597,0.00204499,0.732776975
Á¤,ªë¥Ø³½,0.00204499,0.392638037,0.00204499,0.934867117
ÆQ,ªë¥Ø³½,0.00204499,0.680981595,0.00204499,0.384219999
»¶´Ô,²DÄÑ,0.00204499,0.308793456,0.00204499,1.175082653
»¶´Ô,­JÅÚ½³,0.00204499,0.308793456,0.00204499,1.175082653
²DÄÑ,»¶´Ô,0.00204499,0.00204499,0.308793456,1.175082653
²DÄÑ,¯Q¾L,0.00204499,0.00204499,0.044989775,3.101320036
²DÄÑ,¤ô,0.00204499,0.00204499,0.480572597,0.732776975
²DÄÑ,¤õ»L,0.00204499,0.00204499,0.016359918,4.112920948
²DÄÑ,³J,0.00204499,0.00204499,0.032719836,3.419773767
²DÄÑ,»[,0.00204499,0.00204499,0.139059305,1.972854784
²DÄÑ,¤p¶À¥Ê,0.00204499,0.00204499,0.020449898,3.889777396
²DÄÑ,ªÛ³Â,0.00204499,0.00204499,0.010224949,4.582924577
²DÄÑ,­JÅÚ½³,0.00204499,0.00204499,0.00204499,6.192362489
²DÄÑ,¿},0.00204499,0.00204499,0.314928425,1.155409887
²DÄÑ,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¯Q¾L,²DÄÑ,0.00204499,0.044989775,0.00204499,3.101320036
¯Q¾L,¤p¶À¥Ê,0.00204499,0.044989775,0.020449898,0.798734943
¯Q¾L,ªÛ³Â,0.00204499,0.044989775,0.010224949,1.491882124
¯Q¾L,­JÅÚ½³,0.00204499,0.044989775,0.00204499,3.101320036
¤ô,²DÄÑ,0.00204499,0.480572597,0.00204499,0.732776975
¤ô,ªÛ³Â,0.00204499,0.480572597,0.010224949,0.876660937
¤ô,­JÅÚ½³,0.00204499,0.480572597,0.00204499,0.732776975
¤õ»L,²DÄÑ,0.00204499,0.016359918,0.00204499,4.112920948
¤õ»L,¤p¶À¥Ê,0.00204499,0.016359918,0.020449898,1.810335855
¤õ»L,ªÛ³Â,0.00204499,0.016359918,0.010224949,2.503483035
¤õ»L,­JÅÚ½³,0.00204499,0.016359918,0.00204499,4.112920948
³J,²DÄÑ,0.00204499,0.032719836,0.00204499,3.419773767
³J,¤p¶À¥Ê,0.00204499,0.032719836,0.020449898,1.117188674
³J,ªÛ³Â,0.00204499,0.032719836,0.010224949,1.810335855
³J,­JÅÚ½³,0.00204499,0.032719836,0.00204499,3.419773767
»[,²DÄÑ,0.00204499,0.139059305,0.00204499,1.972854784
»[,ªÛ³Â,0.00204499,0.139059305,0.010224949,0.363416872
»[,­JÅÚ½³,0.00204499,0.139059305,0.00204499,1.972854784
¤p¶À¥Ê,²DÄÑ,0.00204499,0.020449898,0.00204499,3.889777396
¤p¶À¥Ê,¯Q¾L,0.00204499,0.020449898,0.044989775,0.798734943
¤p¶À¥Ê,¤õ»L,0.00204499,0.020449898,0.016359918,1.810335855
¤p¶À¥Ê,³J,0.00204499,0.020449898,0.032719836,1.117188674
¤p¶À¥Ê,ªÛ³Â,0.00204499,0.020449898,0.010224949,2.280339484
¤p¶À¥Ê,­JÅÚ½³,0.00204499,0.020449898,0.00204499,3.889777396
ªÛ³Â,²DÄÑ,0.00204499,0.010224949,0.00204499,4.582924577
ªÛ³Â,¯Q¾L,0.00204499,0.010224949,0.044989775,1.491882124
ªÛ³Â,¤ô,0.00204499,0.010224949,0.480572597,0.876660937
ªÛ³Â,¤õ»L,0.00204499,0.010224949,0.016359918,2.503483035
ªÛ³Â,³J,0.00204499,0.010224949,0.032719836,1.810335855
ªÛ³Â,»[,0.00204499,0.010224949,0.139059305,0.363416872
ªÛ³Â,¤p¶À¥Ê,0.00204499,0.010224949,0.020449898,2.280339484
ªÛ³Â,­JÅÚ½³,0.00204499,0.010224949,0.00204499,4.582924577
­JÅÚ½³,»¶´Ô,0.00204499,0.00204499,0.308793456,1.175082653
­JÅÚ½³,²DÄÑ,0.00204499,0.00204499,0.00204499,6.192362489
­JÅÚ½³,¯Q¾L,0.00204499,0.00204499,0.044989775,3.101320036
­JÅÚ½³,¤ô,0.00204499,0.00204499,0.480572597,0.732776975
­JÅÚ½³,¤õ»L,0.00204499,0.00204499,0.016359918,4.112920948
­JÅÚ½³,³J,0.00204499,0.00204499,0.032719836,3.419773767
­JÅÚ½³,»[,0.00204499,0.00204499,0.139059305,1.972854784
­JÅÚ½³,¤p¶À¥Ê,0.00204499,0.00204499,0.020449898,3.889777396
­JÅÚ½³,ªÛ³Â,0.00204499,0.00204499,0.010224949,4.582924577
­JÅÚ½³,¿},0.00204499,0.00204499,0.314928425,1.155409887
­JÅÚ½³,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¿},²DÄÑ,0.00204499,0.314928425,0.00204499,1.155409887
¿},­JÅÚ½³,0.00204499,0.314928425,0.00204499,1.155409887
ÆQ,²DÄÑ,0.00204499,0.680981595,0.00204499,0.384219999
ÆQ,­JÅÚ½³,0.00204499,0.680981595,0.00204499,0.384219999
ªÅ¤ßµæ,¤j»[,0.00204499,0.00408998,0.300613497,0.508782722
ªÅ¤ßµæ,Âû¤ß,0.00204499,0.00408998,0.00408998,4.806068128
ªÅ¤ßµæ,­»ªo,0.00204499,0.00408998,0.298568507,0.515608687
ªÅ¤ßµæ,Âû¯»,0.00204499,0.00408998,0.208588957,0.874242496
ªÅ¤ßµæ,ÆQ,0.00408998,0.00408998,0.680981595,0.384219999
ªÅ¤ßµæ,­J´Ô,0.00204499,0.00408998,0.386503067,0.257468294
¤j»[,ªÅ¤ßµæ,0.00204499,0.300613497,0.00408998,0.508782722
Âû¤ß,ªÅ¤ßµæ,0.00204499,0.00408998,0.00408998,4.806068128
Âû¤ß,­»ªo,0.00204499,0.00408998,0.298568507,0.515608687
Âû¤ß,­J´Ô,0.00204499,0.00408998,0.386503067,0.257468294
­»ªo,ªÅ¤ßµæ,0.00204499,0.298568507,0.00408998,0.515608687
­»ªo,Âû¤ß,0.00204499,0.298568507,0.00408998,0.515608687
Âû¯»,ªÅ¤ßµæ,0.00204499,0.208588957,0.00408998,0.874242496
ÆQ,ªÅ¤ßµæ,0.00408998,0.680981595,0.00408998,0.384219999
­J´Ô,ªÅ¤ßµæ,0.00204499,0.386503067,0.00408998,0.257468294
­J´Ô,Âû¤ß,0.00204499,0.386503067,0.00408998,0.257468294
¤j»[,¤p°^¤Y,0.00204499,0.300613497,0.00204499,1.201929903
¬õ»¶´Ô,¤p°^¤Y,0.00204499,0.075664622,0.00204499,2.581444577
¬õ»¶´Ô,¤p¶À¥Ê,0.00204499,0.075664622,0.020449898,0.278859484
¤p°^¤Y,¤j»[,0.00204499,0.00204499,0.300613497,1.201929903
¤p°^¤Y,¬õ»¶´Ô,0.00204499,0.00204499,0.075664622,2.581444577
¤p°^¤Y,¤p¶À¥Ê,0.00204499,0.00204499,0.020449898,3.889777396
¤p°^¤Y,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
¤p°^¤Y,¤ô,0.00204499,0.00204499,0.480572597,0.732776975
¤p¶À¥Ê,¬õ»¶´Ô,0.00204499,0.020449898,0.075664622,0.278859484
¤p¶À¥Ê,¤p°^¤Y,0.00204499,0.020449898,0.00204499,3.889777396
ÆQ,¤p°^¤Y,0.00204499,0.680981595,0.00204499,0.384219999
¤ô,¤p°^¤Y,0.00204499,0.480572597,0.00204499,0.732776975
»¶´Ô,Ä¨Û£,0.00204499,0.308793456,0.010224949,0.43435526
»¶´Ô,²¢ÄÑÂæ,0.00204499,0.308793456,0.00204499,1.175082653
¤û¦×,Ä¨Û£,0.00204499,0.020449898,0.010224949,2.280339484
¤û¦×,²¢ÄÑÂæ,0.00204499,0.020449898,0.00204499,3.889777396
¤û¦×,Âû¯»,0.00204499,0.020449898,0.208588957,0.735195417
¤j»[,²¢ÄÑÂæ,0.00204499,0.300613497,0.00204499,1.201929903
Ä¨Û£,»¶´Ô,0.00204499,0.010224949,0.308793456,0.43435526
Ä¨Û£,¤û¦×,0.00204499,0.010224949,0.020449898,2.280339484
Ä¨Û£,²¢ÄÑÂæ,0.00204499,0.010224949,0.00204499,4.582924577
Ä¨Û£,­»ªo,0.00204499,0.010224949,0.298568507,0.400682045
Ä¨Û£,­J´Ô,0.00204499,0.010224949,0.386503067,0.658822438
¦Ì°s,²¢ÄÑÂæ,0.00204499,0.425357873,0.00204499,0.85482441
²¢ÄÑÂæ,»¶´Ô,0.00204499,0.00204499,0.308793456,1.175082653
²¢ÄÑÂæ,¤û¦×,0.00204499,0.00204499,0.020449898,3.889777396
²¢ÄÑÂæ,¤j»[,0.00204499,0.00204499,0.300613497,1.201929903
²¢ÄÑÂæ,Ä¨Û£,0.00204499,0.00204499,0.010224949,4.582924577
²¢ÄÑÂæ,¦Ì°s,0.00204499,0.00204499,0.425357873,0.85482441
²¢ÄÑÂæ,­»ªo,0.00204499,0.00204499,0.298568507,1.208755868
²¢ÄÑÂæ,Âû¯»,0.00204499,0.00204499,0.208588957,1.567389676
²¢ÄÑÂæ,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
²¢ÄÑÂæ,­J´Ô,0.00204499,0.00204499,0.386503067,0.950615474
­»ªo,Ä¨Û£,0.00204499,0.298568507,0.010224949,0.400682045
­»ªo,²¢ÄÑÂæ,0.00204499,0.298568507,0.00204499,1.208755868
Âû¯»,¤û¦×,0.00204499,0.208588957,0.020449898,0.735195417
Âû¯»,²¢ÄÑÂæ,0.00204499,0.208588957,0.00204499,1.567389676
ÆQ,²¢ÄÑÂæ,0.00204499,0.680981595,0.00204499,0.384219999
­J´Ô,Ä¨Û£,0.00204499,0.386503067,0.010224949,0.658822438
­J´Ô,²¢ÄÑÂæ,0.00204499,0.386503067,0.00204499,0.950615474
¯ä¨§»G,³Â»¶º±¥Ä,0.00204499,0.00408998,0.00408998,4.806068128
³Â»¶º±¥Ä,¯ä¨§»G,0.00204499,0.00408998,0.00408998,4.806068128
·¦¥¤,­»Û£,0.00408998,0.00204499,0.149284254,2.595050229
·¦¥¤,¨¡ÀY,0.00204499,0.00204499,0.018404908,3.995137912
·¦¥¤,ªàµæ,0.00204499,0.00204499,0.057259714,2.860157979
·¦¥¤,¤ô,0.00204499,0.00204499,0.480572597,0.732776975
·¦¥¤,¥¤ªo,0.00204499,0.00204499,0.020449898,3.889777396
·¦¥¤,­J´Ô,0.00204499,0.00204499,0.386503067,0.950615474
·¦¥¤,ÆQ,0.00204499,0.00204499,0.680981595,0.384219999
·¦¥¤,¿},0.00204499,0.00204499,0.314928425,1.155409887
­»Û£,·¦¥¤,0.00408998,0.149284254,0.00204499,2.595050229
­»Û£,¥¤ªo,0.008179959,0.149284254,0.020449898,0.985612316
¨¡ÀY,·¦¥¤,0.00204499,0.018404908,0.00204499,3.995137912
¨¡ÀY,¥¤ªo,0.00204499,0.018404908,0.020449898,1.692552819
ªàµæ,·¦¥¤,0.00204499,0.057259714,0.00204499,2.860157979
ªàµæ,¥¤ªo,0.00204499,0.057259714,0.020449898,0.557572886
¤ô,·¦¥¤,0.00204499,0.480572597,0.00204499,0.732776975
¥¤ªo,·¦¥¤,0.00204499,0.020449898,0.00204499,3.889777396
¥¤ªo,­»Û£,0.008179959,0.020449898,0.149284254,0.985612316
¥¤ªo,¨¡ÀY,0.00204499,0.020449898,0.018404908,1.692552819
¥¤ªo,ªàµæ,0.00204499,0.020449898,0.057259714,0.557572886
¥¤ªo,¿},0.00204499,0.020449898,0.314928425,1.147175206
­J´Ô,·¦¥¤,0.00204499,0.386503067,0.00204499,0.950615474
ÆQ,·¦¥¤,0.00204499,0.680981595,0.00204499,0.384219999
¿},·¦¥¤,0.00204499,0.314928425,0.00204499,1.155409887
¿},¥¤ªo,0.00204499,0.314928425,0.020449898,1.147175206
­W¥Ê,Á¤,0.00204499,0.00408998,0.392638037,0.241719937
­W¥Ê,¤K¨¤,0.00204499,0.00408998,0.067484663,2.002707747
­W¥Ê,¤ô,0.00204499,0.00408998,0.480572597,0.039629795
­W¥Ê,¤j»[,0.00204499,0.00408998,0.300613497,0.508782722
­W¥Ê,«C½µ,0.00204499,0.00408998,0.169734151,1.080374701
­W¥Ê,¦Ì°s,0.00204499,0.00408998,0.425357873,0.161677229
­W¥Ê,Âæªo,0.00204499,0.00408998,0.300613497,0.508782722
­W¥Ê,¦B¿},0.00204499,0.00408998,0.073619632,1.91569637
­W¥Ê,­J´Ô,0.00204499,0.00408998,0.386503067,0.257468294
­W¥Ê,¤­­»¯»,0.00204499,0.00408998,0.034764826,2.666001965
Á¤,­W¥Ê,0.00204499,0.392638037,0.00408998,0.241719937
¤K¨¤,­W¥Ê,0.00204499,0.067484663,0.00408998,2.002707747
¤ô,­W¥Ê,0.00204499,0.480572597,0.00408998,0.039629795
¤j»[,­W¥Ê,0.00204499,0.300613497,0.00408998,0.508782722
«C½µ,­W¥Ê,0.00204499,0.169734151,0.00408998,1.080374701
¦Ì°s,­W¥Ê,0.00204499,0.425357873,0.00408998,0.161677229
Âæªo,­W¥Ê,0.00204499,0.300613497,0.00408998,0.508782722
